nodes,captures,enpassants,castles,promotions,direct_checks,single_discovered_check,direct_discovered_check,double_discovered_check,total_checks,direct_checkmate,single_discovered_checkmate,direct_discoverd_checkmate,double_discoverd_checkmate,total_mates
18935000323218,3837839981246,5057371712,370625152758,2458319872,442161696237,5791866444,582470690,36,448536033407,7233157333,325747,4729878,0,7238212958
16877033270225,3232094472519,4642938570,321943275632,2308976920,400734356337,5311495335,533703970,24,406579555666,6537407457,311310,4374584,0,6542093351
12953376489356,2518633042863,3647945845,264397096171,1931392992,322967678633,4478813033,448440410,24,327894932100,5321474043,283768,3842471,0,5325600282
13585927848828,2269142888203,3788849346,282913145720,2030503052,327224714768,4677194960,483140741,24,332385050493,5450519564,294634,4166547,0,5454980745
11066640490880,1963516974117,3213141790,237665650857,1838352416,282942749890,4096469350,403043268,24,287442262532,4908069247,282791,3543226,0,4911895264
10348190768599,1946362274473,3125097683,222515685067,1795426472,253786240458,3695746522,353288936,24,257835275940,4638239286,62806,3020921,0,4641323013
19648740553553,3798075057499,115592688,387209142573,25976828844,920046523793,7777997696,1074129718,0,928898651207,12092915740,549031,8197444,0,12101662215
13147124269772,2635457288539,48957494,261912226990,67690538536,324975359937,3875310313,359881460,0,329210551710,10387579536,842891,8863040,0,10397285467
13989775862630,2734343634271,3958817210,185796300046,2025192508,318300690349,4639486124,491419027,156,323431595656,5161665145,358779,4686218,0,5166710142
13940234223992,2747677534472,3953385653,198995434400,2029365892,320382102639,4667633215,495994594,144,325545730592,5193036618,361094,4738283,0,5198135995
18295514848885,3705768189103,4668616427,385416363066,2185520708,410991850207,5345972192,549921736,450,416887744585,6445610730,392852,5395055,0,6451398637
16558954887676,3232508686694,4285236605,360354552604,1738516716,666997164477,3487312481,258872003,45,670743349006,9460857383,354140,2352028,0,9463563551
14660802752365,2497802409602,4349519955,294045915533,1867058684,303539015271,3253528768,153347472,0,306945891511,7161861123,802305,1642234,0,7164305662
17841614762771,3065990556948,4883806899,360108415936,2527608216,581475435308,39510388016,8463232535,1403,629449057262,2174488513,931508,77856526,0,2253276547
15556584634166,2534889369479,4502806048,313029431433,2192067760,479153692112,37405795845,2239511631,12,518798999600,2608639376,10973432,24263639,0,2643876447
10949898218012,1899713747937,3218515945,232779417719,2014507580,225896608500,482000942,73402597,0,226452012039,1402658547,24156,162111,0,1402844814
11935384349792,1925589217116,3615899854,257407618540,1937700036,352600114270,519913411,71345487,0,353191373168,1447557737,23683,175245,0,1447756665
10926517539663,1892601721314,3424913958,224626545029,2131904436,373453795289,664526948,84494702,24,374202816963,1889530336,9457,377331,0,1889917124
15770851252373,2906348145044,2056970822,316497328895,2001465968,288012218816,6026711265,241228633,0,294280158714,7966422253,270647,1105000,0,7967797900
13381123307084,2563108628816,3730425578,195728307460,2060489968,331404412929,4578293056,475332198,0,336458038183,5372122847,300149,4037392,0,5376460388
17283591628447,3437937609394,4419593729,325923414955,2247643440,418735137098,5352369366,541475540,0,424628982004,7645343822,397682,5184718,0,7650926222
14604950944019,2680720934825,3958076359,279340884779,2106875632,292102724774,5453726100,619182834,0,298175633708,3125829512,427447,6035539,0,3132292498
16474645122655,3182008416100,4471576689,309244084432,2041319628,371948562226,4737799522,484616086,0,377170977834,14434139042,1103237,4895197,0,14440137476
14213390633204,2778576063641,3896735208,267099293056,1922959804,337932598438,4751507902,516293629,0,343200399969,6299895652,794086,5382734,0,6306072472
11610329611080,1941267490698,3238595633,235210243713,1196965652,280866208128,4260312681,418456843,46,285544977698,4627020454,186774,4165558,0,4631372786
9684737364184,1925512753105,2855319909,90677010845,1961610528,243866569471,2373193248,166906313,12,246406669044,3695806423,299171,1085851,0,3697191445
14859603456059,2925546561116,4157514270,210554372978,2336072792,359495310356,4909641708,508425410,46,364913377520,5571876016,74015,4029371,0,5575979402
14796448995983,2808735670291,4090727861,297720319065,2045306992,360263847872,5126688078,490724838,0,365881260788,6049321087,162791,4380828,0,6053864706
15457831370434,2884838069901,4172577218,304660226168,1991919688,360465955263,5203483609,517085279,46,366186524197,6040777382,92136,5777963,0,6046647481
14439891624558,2774314406035,3723719465,278139533507,1770500852,419160045830,39033686862,6570223141,46,464763955879,5616437681,1427492,75080841,0,5692946014
13746642706679,2686193732936,3819066798,157335965364,2090532032,343176779000,4716724367,484542444,14,348378045825,5555037822,304866,4068574,0,5559411262
13537161365309,2664589178628,3783014294,156116604034,2086350928,339363041001,4686645949,483917367,20,344533604337,5502745879,300496,4062970,0,5507109345
12517006910284,2492433352446,3489080094,156076764670,1997930944,317527365187,4696120375,559877920,299,322783363781,5202008563,301875,4127647,0,5206438085
12893511653497,2552901752384,3620259441,138897474048,2062174304,326813974262,4595196024,483801874,24,331892972184,5252437078,302068,4030420,0,5256769566
14734587002952,2863504231686,4054790207,149675606965,2114057944,358619579596,4888468463,496802588,24,364004850671,5837245521,306203,4289084,0,5841840808
20213264583037,3249062146449,5424080387,414820073778,2396804612,534235939990,4695332642,716008935,24,539647281591,3443925176,86565,4976716,0,3448988457
12429245267090,2494711317917,3724210221,242926250020,1517218136,594556625520,7408140698,650892611,6,602615658835,24272534763,17450372,14628073,0,24304613208
14529695547948,2618423357847,3938079056,305868231992,2067776656,288444899912,3478877680,796071385,418,292719849395,1478225914,22304,4040901,0,1482289119
17154817618150,3236781649156,4496034460,340890098176,2339141828,361577210466,5285905440,590768924,36,367453884866,3136839587,116281,5810489,0,3142766357
18682076264644,3539548620055,4995503786,366455344599,2389379324,395991435992,6312384102,1093107607,24,403396927725,3667395396,549429,11727768,0,3679672593
16226823301871,3086228529488,4426415403,321394073789,2275887728,439441500911,5596809777,581703812,12,445620014512,7081137113,755762,7870064,0,7089762939
17590420113757,3462700684077,4771784122,350690503584,2286638452,442779916522,6559860137,1103245460,12,450443022131,4176306911,393943,8768559,0,4185469413
21378118001692,4376197416480,5795019488,419149057593,2747943276,639419985484,9779292182,1335754500,12,650535032178,10210228250,1465796,10687688,0,10222381734
18109546088726,3501372028511,4919777265,360985185682,2358722756,480734063058,10136277234,1557123134,12,492427463438,4060554424,1106916,13106682,0,4074768022
12124039380826,2367806856433,3382434330,0,1838819128,306814400291,4393599791,455680955,8,311663681045,4919154789,302620,3936945,0,4923394354
