nodes,captures,enpassants,castles,promotions,direct_checks,single_discovered_check,direct_discovered_check,double_discovered_check,direct_checkmate,single_discovered_checkmate,direct_discoverd_checkmate,double_discoverd_checkmate,started_at,finished_at,nps,occurrences,hash,fen,account_id,worker_id,name
167443843,23335665,3047,0,0,2619522,9960,2645,0,255,0,0,0,1739536731,1739536733,8.372192e+07,1,11584311804923133698,2r2rk1/1pp1qppp/p1np1n2/2b1p1B1/2BPP1b1/P1N2N2/1PP1QPPP/R4RK1 w - - 0 1,1,0,Timmoth
160672413,22367572,2958,0,0,2505090,9732,2588,0,248,0,0,0,1739536731,1739536733,8.033621e+07,1,6330346484382773211,3r1rk1/1pp1qppp/p1np1n2/2b1p1B1/2BPP1b1/P1N2N2/1PP1QPPP/R4RK1 w - - 0 1,1,0,Timmoth
146181295,20383990,2772,0,0,2252687,8207,2172,0,213,0,0,0,1739536731,1739536733,7.309065e+07,1,1713973679412251339,4rrk1/1pp1qppp/p1np1n2/2b1p1B1/2BPP1b1/P1N2N2/1PP1QPPP/R4RK1 w - - 0 1,1,0,Timmoth
177208659,24482787,3138,0,0,2730097,10032,2663,0,21,0,0,0,1739536731,1739536734,5.9069552e+07,1,10609123214455134243,rr4k1/1pp1qppp/p1np1n2/2b1p1B1/2BPP1b1/P1N2N2/1PP1QPPP/R4RK1 w - - 0 1,1,0,Timmoth
184320913,25598454,3227,0,0,2847084,10268,2722,0,21,0,0,0,1739536731,1739536734,6.1440304e+07,1,2152236581548709682,r1r3k1/1pp1qppp/p1np1n2/2b1p1B1/2BPP1b1/P1N2N2/1PP1QPPP/R4RK1 w - - 0 1,1,0,Timmoth
192653059,26703327,3316,0,0,2984214,10564,2796,0,17,0,0,0,1739536731,1739536734,6.4217688e+07,1,16916665237657503723,r2r2k1/1pp1qppp/p1np1n2/2b1p1B1/2BPP1b1/P1N2N2/1PP1QPPP/R4RK1 w - - 0 1,1,0,Timmoth
192051068,26610798,3308,0,0,2959939,9531,2503,0,27,0,0,0,1739536731,1739536734,6.4017024e+07,1,12309666042044343035,r3r1k1/1pp1qppp/p1np1n2/2b1p1B1/2BPP1b1/P1N2N2/1PP1QPPP/R4RK1 w - - 0 1,1,0,Timmoth
205520117,28598183,3814,0,0,1185286,1896,471,0,223,0,0,0,1739536731,1739536734,6.8506704e+07,1,10692514548037110494,r4rk1/1pp2ppp/p1npqn2/2b1p1B1/2BPP1b1/P1N2N2/1PP1QPPP/R4RK1 w - - 0 1,1,0,Timmoth
200224846,27537879,3406,0,0,3168994,9909,2597,0,328,0,0,0,1739536731,1739536734,6.6741616e+07,1,14429466441339173205,r4rk1/1ppq1ppp/p1np1n2/2b1p1B1/2BPP1b1/P1N2N2/1PP1QPPP/R4RK1 w - - 0 1,1,0,Timmoth
169067827,23226788,3052,0,0,2744389,10064,2671,0,314,0,0,0,1739536731,1739536733,8.453391e+07,1,3277107855352768787,r2q1rk1/1pp2ppp/p1np1n2/2b1p1B1/2BPP1b1/P1N2N2/1PP1QPPP/R4RK1 w - - 0 1,1,0,Timmoth
176999025,23885140,3133,0,0,2771825,9288,2443,0,345,0,0,0,1739536731,1739536733,8.849951e+07,1,3327327261026421159,r3qrk1/1pp2ppp/p1np1n2/2b1p1B1/2BPP1b1/P1N2N2/1PP1QPPP/R4RK1 w - - 0 1,1,0,Timmoth
224153959,30639966,4058,0,0,1216268,332,83,0,646,0,0,0,1739536731,1739536734,7.4717984e+07,1,18397023713191375854,r4r1k/1pp1qppp/p1np1n2/2b1p1B1/2BPP1b1/P1N2N2/1PP1QPPP/R4RK1 w - - 0 1,1,0,Timmoth
103243813,11933734,118,0,0,1990874,7043,1730,0,184,0,0,0,1739536731,1739536733,5.1621904e+07,1,8245756273640531834,r4rk1/1pp1qppp/2np1n2/p1b1p1B1/2B1P1b1/P2P1N2/1PP1QPPP/RN3RK1 w - - 0 1,1,0,Timmoth
114160464,17474795,131,0,0,391792,1684,188,0,206,0,0,0,1739536731,1739536733,5.7080232e+07,1,11120302150454482045,r4rk1/1pp1qppp/p1n2n2/2bpp1B1/2B1P1b1/P2P1N2/1PP1QPPP/RN3RK1 w - - 0 1,1,0,Timmoth
